DATE,TIME_M,SYM_ROOT,SYM_SUFFIX,SIZE,PRICE
20210316,4:10:38.720587370,TSLA,,20,705
20210316,4:10:42.655068441,TSLA,,1,705
20210316,4:10:43.015212342,TSLA,,40,705
20210316,4:10:49.694432409,TSLA,,3,705.03
20210316,4:10:55.241588441,TSLA,,1,705.02
20210316,4:10:55.241591232,TSLA,,3,705
20210316,4:10:55.241594176,TSLA,,3,705
20210316,4:10:55.442853297,TSLA,,70,704.99
20210316,4:10:55.442856097,TSLA,,25,704.69
20210316,4:10:55.442858815,TSLA,,2,704.51
20210316,4:10:55.442863051,TSLA,,3,704.5
20210316,4:10:55.443431340,TSLA,,50,705.05
20210316,4:10:55.443437088,TSLA,,25,704.73
20210316,4:10:55.566378177,TSLA,,1,704.57
20210316,4:11:00.733321273,TSLA,,1,704.53
20210316,4:11:00.733321429,TSLA,,10,704.51
20210316,4:11:00.733321635,TSLA,,5,704.5
20210316,4:11:00.733322076,TSLA,,1,704.44
20210316,4:11:00.733329860,TSLA,,13,704.34
20210316,4:11:00.959090798,TSLA,,5,704.83
20210316,4:11:12.002928007,TSLA,,20,704.83
20210316,4:11:31.844002806,TSLA,,10,704.8
20210316,4:11:37.655629119,TSLA,,1,704.77
20210316,4:11:37.655724027,TSLA,,1,704.35
20210316,4:11:42.795331265,TSLA,,5,704.8
20210316,4:11:49.981098451,TSLA,,5,704.8
20210316,4:11:52.995088999,TSLA,,50,704.8
20210316,4:11:57.798428921,TSLA,,20,704.77
20210316,4:11:57.959178498,TSLA,,5,704.77
20210316,4:11:57.959181470,TSLA,,2,704.77
20210316,4:12:00.693611571,TSLA,,1,704.75
20210316,4:12:00.693614630,TSLA,,4,704.75
20210316,4:12:08.157290678,TSLA,,1,704.77
20210316,4:12:08.157293467,TSLA,,1,704.77
20210316,4:12:27.810944383,TSLA,,25,704.76
20210316,4:12:32.783245353,TSLA,,1,704.76
20210316,4:12:32.783245527,TSLA,,2,704.79
20210316,4:12:33.040386311,TSLA,,3,704.79
20210316,4:12:33.781814133,TSLA,,1,704.8
20210316,4:12:33.781816264,TSLA,,7,704.8
20210316,4:12:36.248515007,TSLA,,11,704.81
20210316,4:12:39.222308778,TSLA,,1,704.82
20210316,4:12:43.362673494,TSLA,,2,704.85
20210316,4:12:43.448673359,TSLA,,23,704.85
20210316,4:12:43.448673567,TSLA,,8,704.93
20210316,4:12:43.448742766,TSLA,,2,704.93
20210316,4:12:43.449040160,TSLA,,5,704.79
20210316,4:12:43.449116380,TSLA,,1,704.79
20210316,4:12:43.449119116,TSLA,,5,704.91
